node,x,y,z,shared_abs_p_pa,joint_abs_p_pa,complex_difference_percent_of_max
4157,-0.04084853151260558,-0.02917752250900398,-0.08169706302521117,403.72665503824066,403.72397702664983,0.0014921614649080993
4158,-0.040217075869132056,-0.034471779316398894,-0.08043415173826411,405.0996825405233,405.09375151852163,0.0010888118564031696
4159,-0.03948645041471424,-0.03948645041471424,-0.07897290082942848,406.5428136402625,406.53979333300083,0.0005561880877514227
4160,-0.038668068185852895,-0.04419207792668902,-0.07733613637170579,407.96908868459127,407.94678438575477,0.0036906755332832167
4161,-0.037775505979350206,-0.048568507687735976,-0.07555101195870041,409.111509591727,409.14466775274167,0.0054461875191407
4162,-0.03682362393920892,-0.05260517705601274,-0.07364724787841784,410.0359187232484,410.05857794797805,0.0038768407319508835
4163,-0.035827629016679186,-0.056300559883352995,-0.07165525803335837,410.54457055176846,410.57982047652956,0.006089938653792126
4164,-0.03480223861519389,-0.05966098048318952,-0.06960447723038778,410.5966601525299,410.63248581457106,0.006104386100887829
4165,-0.03376103624005026,-0.06269906730295047,-0.06752207248010052,410.2292652187199,410.26572507579493,0.006052862542441046
4166,-0.029314358062590664,0.06351444246894644,-0.06840016881271155,408.7790185179168,408.7862296103204,0.0019798207380002644
4167,-0.030293053401000185,0.06058610680200037,-0.07068379126900041,410.04415329663317,410.04359285325796,0.0023722140430385745
4168,-0.03126761630838327,0.05732396323203599,-0.07295777138622762,410.84084803347645,410.8384219658318,0.0017398235654619881
4169,-0.03222572798220121,0.05370954663700202,-0.07519336529180283,411.11127655601643,411.1060706916836,0.0016729657041952188
4170,-0.03315342106638935,0.04973013159958401,-0.0773579824882418,410.8823401637922,410.8775113147549,0.0014445458587651284
4171,-0.03403551530639861,0.04538068707519814,-0.07941620238159676,410.19866956241947,410.2063613185349,0.0018330000731099126
4172,-0.03485627292716879,0.04066565174836358,-0.08133130349672715,409.20226948361415,409.1708764609907,0.005325814953053091
4173,-0.03560022896421837,0.03560022896421837,-0.08306720091650953,407.9242290864596,407.9062791763651,0.0035021457336817177
4174,-0.03625309056936816,0.030210908807806795,-0.08459054466185902,406.53989436166336,406.54614157660916,0.0018743514896541749
4175,-0.03680254758820588,0.024535031725470592,-0.08587261103914705,405.2187691069001,405.2285437022762,0.0023168570028337045
4176,-0.03723882460796777,0.018619412303983885,-0.08689059075192479,404.0648960953474,404.08106762233,0.002949229836674994
4177,-0.0375548580963589,0.012518286032119633,-0.08762800222483742,403.18743531875333,403.20008771986323,0.002145043542508592
4178,-0.03774610128943295,0.006291016881572164,-0.0880742363420102,402.63684501972807,402.6518283798312,0.0025473133774040566
4179,-0.03781010294666533,-0.0,-0.0882235735422191,402.4750431863828,402.46358700800954,0.0019962726825474343
4180,-0.03774610128943295,-0.006291016881572154,-0.0880742363420102,402.6372912053894,402.6533542575059,0.0036099277670036513
4181,-0.0375548580963589,-0.012518286032119626,-0.08762800222483742,403.1955333587188,403.2031495693172,0.0033252060241899524
4182,-0.03723882460796777,-0.018619412303983878,-0.08689059075192479,404.0772250647441,404.08419945297226,0.0028088994327609062
4183,-0.03680254758820588,-0.02453503172547057,-0.08587261103914705,405.22766315040303,405.2319668830596,0.001764553152983998
4184,-0.03625309056936816,-0.030210908807806785,-0.08459054466185903,406.54895506058114,406.5509711227402,0.0006011227750270471
4185,-0.03560022896421837,-0.03560022896421834,-0.08306720091650951,407.91251309513046,407.9144603128075,0.0005052009786106842
4186,-0.03485627292716879,-0.04066565174836358,-0.08133130349672715,409.19080159207766,409.1881409060972,0.001154690765628052
4187,-0.03403551530639861,-0.04538068707519814,-0.07941620238159676,410.1880982478984,410.2048278622119,0.002800454339372313
4188,-0.03315342106638935,-0.04973013159958401,-0.0773579824882418,410.8693222271136,410.8826272082104,0.0022182663841267577
4189,-0.03222572798220121,-0.053709546637002004,-0.07519336529180283,411.08924354687775,411.112658656767,0.003849011613323778
4190,-0.03126761630838327,-0.057323963232035986,-0.07295777138622762,410.82225873191607,410.8461075089217,0.0039134322407208
4191,-0.030293053401000195,-0.06058610680200036,-0.07068379126900044,410.02998901495647,410.05155987077694,0.003609456002396108
4192,-0.029314358062590674,-0.06351444246894644,-0.06840016881271156,408.7790530893228,408.7928878050995,0.0024715911075010575
4193,-0.0246359899475652,0.06405357386366951,-0.06898077185318255,405.99531748819885,406.00408539479577,0.0018981096181342927
4194,-0.025517515198868575,0.06124203647728458,-0.071449042556832,408.0932013156161,408.0980473355581,0.0011333403483226156
4195,-0.026404219961065352,0.05808928391434377,-0.07393181589098298,409.71513697865834,409.71513220826074,0.0008187328224534108
4196,-0.027285581229073486,0.05457116245814697,-0.07639962744140576,410.7741438732982,410.7726145762408,0.0008933442071003516
4197,-0.02814912396918099,0.05066842314452578,-0.07881754711370674,411.25974600659697,411.25427397409925,0.0012704861053067563
4198,-0.02898064039692065,0.04636902463507304,-0.0811457931113778,411.1652175027885,411.1744577728718,0.001762528433068986
4199,-0.02976462813314665,0.04167047938640531,-0.08334095877281061,410.59580943293554,410.5804654581197,0.0025646670324404
4200,-0.03048494777887373,0.03658193733464848,-0.08535785378084643,409.5598450346071,409.58127982995546,0.0038753055647594817
4201,-0.031125650675043585,0.031125650675043585,-0.08715182189012202,408.32393830175414,408.30520410198915,0.0032320573540600786
4202,-0.03167187387684827,0.02533749910147862,-0.08868124685517514,406.93434513070986,406.9411138083127,0.0011952133590284672
4203,-0.03211066454469303,0.01926639872681582,-0.08990986072514048,405.65403821762817,405.6521272498769,0.00032481173423149466
4204,-0.032431604938271616,0.012972641975308648,-0.0908084938271605,404.5856923657878,404.5961437814963,0.00209220493403505
